distribution,version,url
alpine,3.20.0,https://dl-cdn.alpinelinux.org/alpine/v3.20/releases/x86_64/alpine-standard-3.20.0-x86_64.iso
alma_linux,9.2,http://mirror.steadfastnet.com/almalinux/9.2/isos/x86_64/AlmaLinux-9-latest-x86_64-boot.iso
ubuntu,24.04,https://www.releases.ubuntu.com/noble/ubuntu-24.04-desktop-amd64.iso
ubuntu_server,24.04,https://www.releases.ubuntu.com/noble/ubuntu-24.04-live-server-amd64.iso
fedora,40,https://download.fedoraproject.org/pub/fedora/linux/releases/40/Workstation/x86_64/iso/Fedora-Workstation-Live-x86_64-40-1.14.iso
fedora_kinoite,40,https://download.fedoraproject.org/pub/fedora/linux/releases/40/Kinoite/x86_64/iso/Fedora-Kinoite-ostree-x86_64-40-1.14.iso
fedora_silverblue,40,https://download.fedoraproject.org/pub/fedora/linux/releases/40/Silverblue/x86_64/iso/Fedora-Silverblue-ostree-x86_64-40-1.14.iso
debian,12,https://cdimage.debian.org/debian-cd/current/amd64/iso-cd/debian-12.5.0-amd64-netinst.iso
debian_testing,testing,https://cdimage.debian.org/cdimage/weekly-builds/amd64/iso-cd/debian-testing-amd64-netinst.iso
archlinux,current,https://geo.mirror.pkgbuild.com/iso/2024.05.01/archlinux-2024.05.01-x86_64.iso
manjaro,current,https://download.manjaro.org/kde/23.0.4/manjaro-kde-23.0.4-231015-linux65.iso
opensuse_tumbleweed,tumbleweed,https://download.opensuse.org/tumbleweed/iso/openSUSE-Tumbleweed-DVD-x86_64-Current.iso
opensuse_leap,leap,https://download.opensuse.org/distribution/leap/15.5/iso/openSUSE-Leap-15.5-DVD-x86_64-Media.iso
nixos_stable,24.05,https://channels.nixos.org/nixos-24.05/latest-nixos-minimal-x86_64-linux.iso
nixos_bcachefs_support,23.11,https://archive.org/download/nixos-bcachefs/nixos-bcachefs.iso
nixos_gnome,24.05,https://channels.nixos.org/nixos-24.05/latest-nixos-gnome-x86_64-linux.iso
snowflakeOS,alpha,https://cytranet.dl.sourceforge.net/project/snowflakeos/snowflakeos-unstable-x86_64-linux.iso
mxlinux,23.1,https://sourceforge.net/projects/mx-linux/files/Final/Xfce/MX-23.1_x64.iso/download
mint,22,https://mirror.csclub.uwaterloo.ca/linuxmint/stable/22/linuxmint-22-cinnamon-64bit.iso
endeavouros,2023.04,https://mirrors.gigenet.com/endeavouros/iso/Endeavouros-Galileo-11-2023.iso
pop_os_intel,22.04,https://iso.pop-os.org/22.04/amd64/intel/35/pop-os_22.04_amd64_intel_35.iso
pop_os_nvidia,22.04,https://iso.pop-os.org/22.04/amd64/nvidia/35/pop-os_22.04_amd64_nvidia_35.iso
zorin,16.3,https://mirror.clarkson.edu/zorinos/isos/16/Zorin-OS-16.3-Core-64-bit.iso
elementary_os,7.1,https://archive.org/download/elementaryos-7.1-stable.20230926rc_202401/elementaryos-7.1-stable.20230926rc.iso
rocky_linux,9,https://download.rockylinux.org/pub/rocky/9/isos/x86_64/Rocky-9.2-x86_64-minimal.iso
windows_server_2022,eval,https://software-static.download.prss.microsoft.com/sg/download/888969d5-f34g-4e03-ac9d-1f9786c66749/SERVER_EVAL_x64FRE_en-us.iso
bazzite_deck_KDE,2.1.0,https://download.bazzite.gg/bazzite-deck-stable.iso
bazzite_deck_GNOME,2.1.0,https://download.bazzite.gg/bazzite-deck-gnome-stable.iso
gentoo,latest,https://distfiles.gentoo.org/releases/amd64/autobuilds/20240114T164819Z/install-amd64-minimal-20240114T164819Z.iso
magea,9,https://mirror.math.princeton.edu/pub/mageia/iso/9/Mageia-9-Live-Plasma-x86_64/Mageia-9-Live-Plasma-x86_64.iso
endeavouros,Galileo,https://mirrors.gigenet.com/endeavouros/iso/Endeavouros-Galileo-11-2023.iso
nobara,39,https://nobara-images.nobaraproject.org/Nobara-39-Official-2024-01-11.iso
linux_lite,6.6,http://repo.linuxliteos.com/linuxlite/isos/6.6/linux-lite-6.6-64bit.iso
freeBSD,14.0,https://download.freebsd.org/releases/ISO-IMAGES/14.0/FreeBSD-14.0-RELEASE-amd64-dvd1.iso
